entry_time,exit_time,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,session_candidate_symbol_map,entry_pattern,entry_trigger,neckline_level,ltf_wave3_timeframe,htf_alignment_mode,htf_permission_mode,allowed_direction,h4_direction_state,h1_direction_state,rejected_by_htf_permission,candidate_long_detected,candidate_short_detected,selected_candidate_direction,selected_candidate_timeframe,m15_best_pattern,m15_best_score,m5_best_pattern,m5_best_score,htf_wave3_direction,htf_wave3_confirmed,htf_fractal_alignment,wave3_alignment_passed,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_r,retest_reference_type,retest_reference_price,retest_reference_distance_atr,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,target_reward_multiple,target_price,target_room_score,retest_score,time_bucket,time_score_removed_flag,candidate_orderable_before_session_selection,rejected_before_selection_reason,session_consumed_reason,final_score,entry,exit,stop_loss,take_profit,risk_price,result_r,initial_stop_loss_price,current_stop_loss_price,break_even_enabled,break_even_triggered,break_even_trigger_type,break_even_trigger_r,break_even_trigger_time,bars_to_break_even,max_favorable_r_before_exit,max_adverse_r_before_exit,exit_type,full_sl_exit,break_even_exit,tp_exit,time_exit,result_r_before_be,result_r_after_be,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,failure_type,session_invalidated,invalidation_reason,exit_reason,position_id,break_even_mode
2025.01.02 16:15:00,2025.01.02 17:59:08,session_reversal_pullback_one_symbol_first120,EURUSD,SHORT,2025.01.02 16:00:00,16,13,22,london_newyork_overlap,2025.01.02 13:00,0,first_120min,true,true,3,EURUSD,highest_score_in_session_bar,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,1.03121000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,break_below_without_lower_pullback,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,head_and_shoulders,4.500,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_break_below_without_lower_pullback,true,1.03108000,1.03055000,1.03055000,current_day_low,0.1883,neckline_level,1.03121000,0.1712,false,true,true,false,1.50,1.02741000,-0.300,0.200,0-30,true,true,none,order_sent,4.400,1.03100000,1.02741000,1.03339000,1.02741000,0.00239000,1.5021,1.03339000,1.03339000,true,false,none,0.0000,,-1,1.5021,0.5481,tp,false,false,true,false,1.5021,0.0000,35.90,0.00,0.00,35.90,0.100,1.502,6,0.00122643,18.00,4.400,other,false,not_invalidated,DEAL_REASON_TP,2,break_even_at_1_1r
2025.01.07 04:00:00,2025.01.07 06:11:54,session_reversal_pullback_one_symbol_first120,USDJPY,LONG,2025.01.07 03:45:00,3,0,9,tokyo,2025.01.07 00:00,45,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_bottom,neckline_break_retest,158.21500000,PERIOD_M5,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,long_only,confirmed_break_above_swing_high,break_above_without_higher_pullback,false,true,false,LONG,PERIOD_M5,none,0.000,double_bottom,4.200,LONG,false,H4_LONG_confirmed_break_above_swing_high|H1_NONE_break_above_without_higher_pullback,true,158.40900000,158.30750000,158.40900000,current_day_high,0.3307,neckline_level,158.21500000,1.0976,false,true,true,false,1.50,158.70600000,-0.300,0.200,30-60,true,true,none,order_sent,4.100,158.32500000,158.06800000,158.07100000,158.70600000,0.25400000,-1.0118,158.07100000,158.07100000,true,false,none,0.0000,,-1,0.2717,1.0118,full_sl,true,false,false,false,-1.0118,0.0000,-24.39,0.00,0.00,-24.39,0.150,1.500,8,0.10021429,16.00,4.100,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,4,break_even_at_1_1r
2025.01.09 16:15:00,2025.01.09 17:00:08,session_reversal_pullback_one_symbol_first120,GBPJPY,SHORT,2025.01.09 16:00:00,16,13,22,london_newyork_overlap,2025.01.09 13:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,194.07100000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M15,double_top,4.200,double_top,4.200,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,194.07100000,194.02133333,194.02133333,recent_equal_lows,0.0353,neckline_level,194.07100000,0.1431,false,true,true,false,1.50,193.49600000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,194.03400000,194.39700000,194.39300000,193.49600000,0.35900000,-1.0111,194.39300000,194.39300000,true,false,none,0.0000,,-1,0.3649,1.0111,full_sl,true,false,false,false,-1.0111,0.0000,-25.26,0.00,0.00,-25.26,0.110,1.499,3,0.25857143,38.00,4.100,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,6,break_even_at_1_1r
2025.01.10 19:15:00,2025.01.13 01:15:00,session_reversal_pullback_one_symbol_first120,EURUSD,SHORT,2025.01.10 19:00:00,19,16,1,new_york,2025.01.10 16:00,0,first_120min,true,true,3,EURUSD,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,1.02436000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,break_below_without_lower_pullback,false,false,true,SHORT,PERIOD_M15,double_top,4.200,double_top,4.200,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_break_below_without_lower_pullback,true,1.02442000,1.02381000,1.02381000,recent_equal_highs,0.2865,neckline_level,1.02436000,0.0000,false,true,true,false,1.50,1.02147000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,1.02436000,1.02436000,1.02628000,1.02147000,0.00192000,0.0000,1.02628000,1.02628000,true,false,none,0.0000,,-1,0.7240,0.3281,time,false,false,false,true,0.0000,0.0000,0.00,0.00,0.35,0.35,0.130,1.505,24,0.00174786,18.00,4.100,neckline_retest_failed,false,not_invalidated,DEAL_REASON_EXPERT,8,break_even_at_1_1r
2025.01.14 03:15:00,2025.01.14 03:30:38,session_reversal_pullback_one_symbol_first120,EURJPY,SHORT,2025.01.14 03:00:00,3,0,9,tokyo,2025.01.14 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_top,neckline_break_retest,161.37800000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,break_above_without_higher_pullback,false,false,true,SHORT,PERIOD_M15,double_top,4.200,double_top,4.200,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_break_above_without_higher_pullback,true,161.37800000,161.34500000,161.34500000,wick_cluster_zone,0.0159,neckline_level,161.37800000,0.1546,false,true,true,false,1.50,160.88000000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,161.35000000,161.70000000,161.66400000,160.88000000,0.31400000,-1.1146,161.66400000,161.66400000,true,false,none,0.0000,,-1,0.1752,1.1146,full_sl,true,false,false,false,-1.1146,0.0000,-26.57,0.00,0.00,-26.57,0.120,1.497,1,0.18114286,30.00,4.100,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,10,break_even_at_1_1r
2025.01.15 16:15:00,2025.01.15 16:27:21,session_reversal_pullback_one_symbol_first120,USDJPY,SHORT,2025.01.15 16:00:00,16,13,22,london_newyork_overlap,2025.01.15 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,156.32600000,PERIOD_M5,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M5,none,0.000,double_top,4.200,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,156.32600000,156.24300000,156.24300000,pre_session_low,0.3132,neckline_level,156.32600000,0.1510,false,true,true,false,1.50,156.02700000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,156.30000000,156.02300000,156.48200000,156.02700000,0.18200000,1.5220,156.48200000,156.48200000,true,false,none,0.0000,,-1,1.5220,0.8516,tp,false,false,true,false,1.5220,0.0000,37.28,0.00,0.00,37.28,0.210,1.500,0,0.17221429,19.00,4.100,other,false,not_invalidated,DEAL_REASON_TP,12,break_even_at_1_1r
2025.01.15 19:30:00,2025.01.15 22:34:17,session_reversal_pullback_one_symbol_first120,GBPUSD,LONG,2025.01.15 19:15:00,19,16,1,new_york,2025.01.15 16:00,15,first_120min,true,true,3,GBPUSD,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,1.22161000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,long_only,confirmed_break_above_swing_high,no_confirmed_wave3_break,false,true,false,LONG,PERIOD_M15,double_bottom,4.200,none,0.000,LONG,false,H4_LONG_confirmed_break_above_swing_high|H1_NONE_no_confirmed_wave3_break,true,1.22210000,1.22161000,1.22210000,recent_rejection_zone,0.0072,session_high|opening_range_high|neckline_level,1.22210000,0.0054,false,true,true,false,1.50,1.22415000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,1.22209000,1.22415000,1.22071000,1.22415000,0.00138000,1.4928,1.22071000,1.22071000,true,true,price_1_1r_close,1.3841,2025.01.15 22:15:00,12,1.4928,0.8551,tp,false,false,true,false,1.3841,0.1087,37.08,0.00,0.00,37.08,0.180,1.493,12,0.00186857,20.00,4.100,other,false,not_invalidated,DEAL_REASON_TP,14,break_even_at_1_1r
2025.01.16 03:15:00,2025.01.16 03:47:05,session_reversal_pullback_one_symbol_first120,USDJPY,SHORT,2025.01.16 03:00:00,3,0,9,tokyo,2025.01.16 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,head_and_shoulders,right_shoulder_entry,156.18500000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,no_confirmed_wave3_break,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,choch_down,3.100,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_no_confirmed_wave3_break,true,156.16300000,156.00300000,156.00300000,current_day_low,0.3066,neckline_level,156.18500000,0.6450,false,true,true,false,1.50,155.58700000,-0.300,0.200,0-30,true,true,none,order_sent,4.400,156.11000000,155.57800000,156.45900000,155.58700000,0.34900000,1.5244,156.45900000,156.45900000,true,true,price_1_1r_close,1.2493,2025.01.16 03:30:00,2,1.5244,0.2006,tp,false,false,true,false,1.2493,0.2751,37.61,0.00,0.00,37.61,0.110,1.499,2,0.11628571,18.00,4.400,other,false,not_invalidated,DEAL_REASON_TP,16,break_even_at_1_1r
2025.01.16 10:15:00,2025.01.16 11:59:01,session_reversal_pullback_one_symbol_first120,USDJPY,SHORT,2025.01.16 10:00:00,10,7,16,london,2025.01.16 07:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,156.04100000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,no_confirmed_wave3_break,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,head_and_shoulders,4.500,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_no_confirmed_wave3_break,true,156.01900000,155.95700000,155.95700000,session_low,0.2049,neckline_level,156.04100000,0.2535,false,true,false,false,1.50,155.64100000,-0.300,0.200,0-30,true,true,none,order_sent,4.400,156.00700000,155.63200000,156.25100000,155.64100000,0.24400000,1.5369,156.25100000,156.25100000,true,false,none,0.0000,,-1,1.5369,0.9016,tp,false,false,true,false,1.5369,0.0000,38.55,0.00,0.00,38.55,0.160,1.500,6,0.13414286,18.00,4.400,other,false,not_invalidated,DEAL_REASON_TP,18,break_even_at_1_1r
2025.01.16 19:15:00,2025.01.17 01:15:00,session_reversal_pullback_one_symbol_first120,USDJPY,SHORT,2025.01.16 19:00:00,19,16,1,new_york,2025.01.16 16:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,155.54900000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,double_top,4.200,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,155.50600000,155.33200000,155.23350000,recent_equal_lows,0.1375,session_low|opening_range_low|neckline_level,155.33200000,0.0082,false,true,true,false,1.50,154.23800000,-0.300,0.200,0-30,true,true,none,order_sent,4.400,155.33400000,155.24600000,156.06500000,154.23800000,0.73100000,0.1204,156.06500000,156.06500000,true,false,none,0.0000,,-1,0.4022,0.2353,time,false,false,false,true,0.1204,0.0000,2.83,0.00,-0.57,2.26,0.050,1.499,24,0.24357143,19.00,4.400,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,20,break_even_at_1_1r
2025.01.17 10:15:00,2025.01.17 11:21:22,session_reversal_pullback_one_symbol_first120,USDJPY,SHORT,2025.01.17 10:00:00,10,7,16,london,2025.01.17 07:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,155.52100000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,break_above_without_higher_pullback,false,false,true,SHORT,PERIOD_M15,double_top,4.200,none,0.000,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_break_above_without_higher_pullback,true,155.52100000,155.40100000,155.40100000,session_low,0.2524,neckline_level,155.52100000,0.3211,false,true,false,false,1.50,155.01600000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,155.47900000,155.78800000,155.78800000,155.01600000,0.30900000,-1.0000,155.78800000,155.78800000,true,false,none,0.0000,,-1,0.2524,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-23.80,0.00,0.00,-23.80,0.120,1.498,4,0.13078571,18.00,4.100,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,22,break_even_at_1_1r
2025.01.17 19:15:00,2025.01.20 00:46:30,session_reversal_pullback_one_symbol_first120,USDJPY,SHORT,2025.01.17 19:00:00,19,16,1,new_york,2025.01.17 16:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,sweep_high_reclaim,sweep_reclaim_retest,156.33800000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,short_only,confirmed_break_below_swing_low,break_above_without_higher_pullback,false,false,true,SHORT,PERIOD_M15,sweep_high_reclaim,3.400,none,0.000,SHORT,false,H4_SHORT_confirmed_break_below_swing_low|H1_NONE_break_above_without_higher_pullback,true,156.31900000,156.23100000,156.23000000,previous_week_low,0.1118,session_low|opening_range_low|neckline_level,156.23100000,0.0883,false,true,true,false,1.50,156.02000000,-0.300,0.200,0-30,true,true,none,order_sent,3.300,156.24700000,156.39900000,156.39900000,156.02000000,0.15200000,-1.0000,156.39900000,156.39900000,true,false,none,0.0000,,-1,0.9868,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-24.30,0.00,-2.82,-27.12,0.250,1.493,22,0.18128571,16.00,3.300,sweep_reclaim_failed,false,not_invalidated,DEAL_REASON_SL,24,break_even_at_1_1r
2025.01.20 17:30:00,2025.01.20 17:45:01,session_reversal_pullback_one_symbol_first120,EURUSD,LONG,2025.01.20 17:15:00,17,14,23,london_newyork_overlap,2025.01.20 13:00,75,first_120min,false,true,3,EURUSD,highest_score_in_session_bar,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.04012000,PERIOD_M5,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,long_only,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M5,none,0.000,inverse_head_and_shoulders,4.500,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.04281500,1.04012000,1.04281500,recent_equal_highs,1.3531,neckline_level,1.04012000,0.2119,false,true,true,false,1.50,1.04308000,0.150,0.200,60-90,true,true,none,order_sent,4.850,1.04042000,1.03865000,1.03865000,1.04308000,0.00177000,-1.0000,1.03865000,1.03865000,true,false,none,0.0000,,-1,1.4068,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-24.78,0.00,0.00,-24.78,0.140,1.503,1,0.00141571,18.00,4.850,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,26,break_even_at_1_1r
2025.01.21 16:15:00,2025.01.21 22:15:00,session_reversal_pullback_one_symbol_first120,GBPUSD,LONG,2025.01.21 16:00:00,16,13,22,london_newyork_overlap,2025.01.21 13:00,0,first_120min,true,true,3,GBPUSD,highest_score_in_session_bar,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.22686000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,long_only,confirmed_break_above_swing_high,no_confirmed_wave3_break,false,true,false,LONG,PERIOD_M15,inverse_head_and_shoulders,4.500,double_bottom,4.200,LONG,false,H4_LONG_confirmed_break_above_swing_high|H1_NONE_no_confirmed_wave3_break,true,1.23000000,1.22858000,1.23000000,round_number,0.3494,session_high|opening_range_high|neckline_level,1.22858000,0.1621,false,true,true,false,1.50,1.23404000,-0.300,0.200,0-30,true,true,none,order_sent,4.400,1.22877000,1.23290000,1.22525000,1.23404000,0.00352000,1.1733,1.22525000,1.22525000,true,true,price_1_1r_close,1.1761,2025.01.21 18:45:00,11,1.2330,0.5284,time,false,false,false,true,1.1761,-0.0028,28.91,0.00,0.00,28.91,0.070,1.497,24,0.00117214,20.00,4.400,other,false,not_invalidated,DEAL_REASON_EXPERT,28,break_even_at_1_1r
2025.01.22 03:15:01,2025.01.22 09:15:00,session_reversal_pullback_one_symbol_first120,GBPJPY,LONG,2025.01.22 03:00:00,3,0,9,tokyo,2025.01.22 00:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_bottom,neckline_break_retest,191.84200000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,long_only,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M15,double_bottom,4.200,none,0.000,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,192.05312500,192.01700000,192.05312500,recent_equal_highs,0.0658,session_high|opening_range_high|neckline_level,192.01700000,0.0718,false,true,true,false,1.50,192.53500000,-0.300,0.200,0-30,true,true,none,order_sent,4.100,192.03100000,191.94200000,191.69500000,192.53500000,0.33600000,-0.2649,191.69500000,191.69500000,true,false,none,0.0000,,-1,1.1220,0.5268,time,false,false,false,true,-0.2649,0.0000,-6.26,0.00,0.00,-6.26,0.110,1.500,24,0.19500000,38.00,4.100,neckline_retest_failed,false,not_invalidated,DEAL_REASON_EXPERT,30,break_even_at_1_1r
2025.01.22 12:00:01,2025.01.22 16:12:49,session_reversal_pullback_one_symbol_first120,GBPUSD,LONG,2025.01.22 11:45:00,11,8,17,london,2025.01.22 07:00,105,first_120min,false,true,3,GBPUSD,highest_score_in_session_bar,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.23532000,PERIOD_M15,strict_h4_h1_alignment,h4_bias_h1_reversal_pre_filter,long_only,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M15,inverse_head_and_shoulders,4.500,double_bottom,4.200,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.24000000,1.23641000,1.24000000,round_number,0.9744,session_high|opening_range_high|neckline_level,1.23641000,0.1362,false,false,true,false,1.50,1.24186000,0.000,0.200,90-120,true,true,none,order_sent,4.700,1.23657000,1.23305000,1.23305000,1.24186000,0.00352000,-1.0000,1.23305000,1.23305000,true,false,none,0.0000,,-1,0.2813,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-24.64,0.00,0.00,-24.64,0.070,1.503,16,0.00117500,20.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,32,break_even_at_1_1r
