run_id,scenario_id,scenario_name,scenario_mode,experiment_id,htf_permission_id,htf_permission_mode,htf_permission_value,htf_alignment_mode,htf_alignment_value,break_even_id,break_even_mode,break_even_value,filter_orderable_before_session_selection,diagnostic_only,preset,tester_ini
all_first120__baseline__no_be,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,no_be,no_break_even,0,False,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__baseline__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__baseline__no_be_2025.ini
all_first120__baseline__be_1_1r,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,False,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__baseline__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__baseline__be_1_1r_2025.ini
all_first120__h1_h4_notopp__no_be,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_h4_notopp__no_be_2025.ini
all_first120__h1_h4_notopp__be_1_1r,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_h4_notopp__be_1_1r_2025.ini
all_first120__h4_bias_h1_rev__no_be,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__no_be_2025.ini
all_first120__h4_bias_h1_rev__be_1_1r,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_1_1r_2025.ini
all_first120__soft__no_be,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__no_be_2025.ini
all_first120__soft__be_1_1r,all_symbols_first120,session_reversal_pullback_all_symbols_first120,0,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_1_1r_2025.ini
one_first120__baseline__no_be,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,no_be,no_break_even,0,False,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__baseline__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__baseline__no_be_2025.ini
one_first120__baseline__be_1_1r,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,False,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__baseline__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__baseline__be_1_1r_2025.ini
